header,sub,item,unit,description
301,94,0,KGM,"--Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
301,95,0,KGM,--Southern bluefin tunas (Thunnus maccoyii)
301,99,0,KGM,--Other
302,11,0,KGM,"--Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
302,13,0,KGM,"--Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha,Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou, and Oncorhynchus rhodurus)"
302,14,0,KGM,--Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
302,19,0,KGM,--Other
302,21,0,KGM,"--Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
302,22,0,KGM,--Plaice (Pleuronectes platessa)
302,23,0,KGM,--Sole (Solea spp.)
302,24,0,KGM,--Turbots (Psetta maxima)
302,29,0,KGM,--Other
302,31,0,KGM,--Albacore or longfinned tunas (Thunnus alalunga)
302,32,0,KGM,--Yellowfin tunas (Thunnus albacares)
302,33,0,KGM,--Skipjack or stripe-bellied bonito
302,34,0,KGM,--Bigeye tunas (Thunnus obesus)
302,35,0,KGM,"--Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
302,36,0,KGM,--Southern bluefin tunas (Thunnus maccoyii)
302,39,0,KGM,--Other
302,41,0,KGM,"--Herrings (Clupea harengus, Clupea pallasii)"
302,42,0,KGM,--Anchovies (Engraulis spp.)
302,43,0,KGM,"--Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
302,44,0,KGM,"--Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
302,45,0,KGM,--Jack and horse mackerel (Trachurus spp.)
302,46,0,KGM,--Cobia (Rachycentron canadum)
302,47,0,KGM,--Swordfish (Xiphias gladius)
302,51,0,KGM,"--Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
302,52,0,KGM,--Haddock (Melanogrammus aeglefinus)
302,53,0,KGM,--Coalfish (Pollachius virens)
302,54,0,KGM,"--Hake (Merluccius spp., Urophycis spp.)"
302,55,0,KGM,--Alaska Pollack (Theraga chalcogramma)
302,56,0,KGM,"--Blue whitings (Micromesistius poutassou, Micromesistius australis)"
302,59,0,KGM,--Other
302,71,0,KGM,--Tilapias (Oreochromis spp.)
302,72,0,KGM,"--Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
302,73,0,KGM,"--Carp (Cyprinus carpio, Carassius Carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylophar yngodon piceus)"
302,74,0,KGM,--Eels (Anguilla spp.)
302,79,0,KGM,--Other
302,81,0,KGM,--Dogfish and other sharks
302,82,0,KGM,--Rays and skates (Rajidae)
302,83,0,KGM,--Toothfish (Dissostichus spp.)
302,84,0,KGM,--Seabass (Dicentrarchus spp.)
302,85,0,KGM,--Seabream (Sparidae)
302,89,0,KGM,--Other
302,90,0,KGM,-Livers and roes
303,11,0,KGM,--Sockeye salmon (red salmon) (Oncorhynchus nerka)
303,12,0,KGM,"--Other Pacific salmon (Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)"
303,13,0,KGM,--Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
303,14,0,KGM,"--Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
303,19,0,KGM,--Other
303,23,0,KGM,--Tilapias (Oreochromis spp.)
